"","VP","SessionDuration","Count.ButtonTouchedPerSession","Count.MissedButtonPerSession","MeanPerSession.Count.ButtonTouchedPerInteraction","MeanPerSession.Count.ButtonTouchedPerTask","MeanPerSession.Count.CorrectButtonTouchedPerTask","time_between_touches.mean","difference.touch_buttonCenter_y.mean","touchAccuracy.mean","touchAccuracy_x.mean","swipe_length.sd","swipe_length.median","swipe_speed.median","time_between_touches.median","touchAccuracy.median","touchAccuracy_x.median","touchAccuracy_y.median","touch.duration.mad","swipe_length.mad","swipe_speed.mad","time_between_touches.mad","difference.touch_buttonCenter_x.mad","touchAccuracy_x.mad","touchAccuracy_y.mad","touch.duration.min","swipe_speed.min","time_between_touches.min","difference.touch_buttonCenter_x.min","difference.touch_buttonCenter_y.min","touchAccuracy.min","swipe_length.max","swipe_speed.max","difference.touch_buttonCenter_x.max","difference.touch_buttonCenter_y.max","touchAccuracy.max","touch.duration.skew","swipe_length.skew","swipe_speed.skew","time_between_touches.skew","touchAccuracy.skew","touchAccuracy_x.skew","touchAccuracy_y.skew","swipe_length.kurtosis","swipe_speed.kurtosis","difference.touch_buttonCenter_x.kurtosis","touch.duration.se","swipe_length.se","swipe_speed.se","difference.touch_buttonCenter_x.se","Age","neuro","extra","open","agree","con","source","Gender","Handedness","Condition"
"40",12,122.022000074387,0.712986182384841,0.00819524347568783,1,1,1,1.70362500439991,-4.99999940395355,-0.0497054722257451,0.293506515534778,169.435986844532,449.071157918317,1184.36476382993,0.480499982833862,-0.0128571413487801,0.307142879403368,-0.142857128260087,0.100816915941238,166.47815976039,397.469518722965,0.107488485860825,9.6369,0.275340004689012,0.275340004689012,0.144999980926514,519.950613105337,0.276999950408936,-22.4999994039536,-28.9999994039536,-0.859591858956974,770.449381854512,2133.07831727739,40.5000005960464,33.0000005960464,0.188571454456875,1.23343101307692,-0.090255864746812,0.229872619714044,8.52777033644981,-2.35772792141031,-0.236494897662399,0.256215185252796,-0.810368811700832,-0.349779710314662,0.416932160959363,0.0118402468656559,18.061936885837,38.6812591940101,1.21176931281643,30,31,9,30,26,34,"old","F","RIGHT","1"
"42",13,120.918999910355,0.67813991234456,0.0413499946551561,1,1.05747126436782,1,1.69720691648023,-3.57471204763171,-0.339099233062197,0.359605934484,171.294203669983,398.658375053127,1209.10824644,0.459000110626221,-0.00244897699912119,0.314285736667867,-0.11428569920209,0.103782254505157,208.197624419399,337.942048414933,0.194220662212372,13.3434,0.381240006492479,0.360060006131785,0.0369999408721924,332.389014315744,0.203000068664551,-28.4999994039536,-142.499999403954,-26.8132661765588,767.91926658992,1986.27759727002,230.500000596046,29.0000005960464,0.863265369341605,0.318713536025311,0.0567710158478293,-0.222121572855294,8.53195951720131,-8.93421249964681,5.71020734813335,-3.61088636784916,-0.848895631871416,-0.221985874796216,43.1465185885852,0.0124163022422724,18.3646662899647,35.4218058085077,2.93846958605832,27,22,26,32,35,24,"old","F","RIGHT","1"
"44",13,121.286999940872,0.808000857864202,0.0659592537032002,1,1.14150943396226,1.07547169811321,1.25096227537911,-0.726414498293175,-0.365115525874704,0.28301888977421,177.765829689179,422.590505103699,1338.61453047209,0.404000043869019,-0.00102040941444128,0.178571448642381,-0.0571428410860954,0.117866817355156,170.736072829356,378.247913106028,0.166051183032989,14.0847,0.402420006853172,0.402420006853172,0.0510001182556152,66.2578468697066,0.211999893188477,-60.4999994039536,-97.4999994039536,-31.9561233894818,907.700666519531,2386.81834587475,401.500000596046,261.000000596046,2.29653063840143,1.27556881985871,0.01350845862369,-0.143574886981551,9.25618773960644,-8.981553481907,7.74455644273744,5.14993906608463,-0.335857404883212,0.51105419096671,70.9276027026328,0.0139554021793821,17.2661437187309,41.4444615296794,4.04459148368297,27,22,26,32,35,24,"old","F","RIGHT","1"
"47",14,126.858000040054,0.575446562116312,0.0157656592360633,1,1.21333333333333,1.12,2.07936001459758,-5.13999940395355,-0.00843809467562171,0.196761925142639,197.395604310627,430.711620460837,1307.88351965981,0.589999914169312,-0.00510203515127817,0.200000020435879,-0.0999999846730911,0.0948865922927856,176.628933405013,547.5713073219,0.309863564014435,11.8608,0.338880005771092,0.275340004689012,0.0529999732971191,0,0.240000009536743,-67.9999994039536,-33.9999994039536,-0.506122460865766,898.652602511115,2794.33806385877,47.5000005960464,24.0000005960464,1.02693876839935,-0.025928727732785,0.126875162704365,-0.0866635490203898,7.16078114789384,2.21881523978221,-1.3048001027302,-0.329081332000718,-0.247205380464518,0.279957730244891,5.2968671786259,0.0112028970845888,22.7932810571178,62.7569367107756,1.84607139070502,33,16,32,31,35,36,"old","M","RIGHT","1"
"48",14,124.421999931335,0.530452814103804,0.0482229831003459,1,1.11111111111111,1.04166666666667,2.129902780056,-4.45833273728689,-0.0843820884437631,0.162500019797257,153.854041627461,405.98593079168,1268.06597851884,0.445500016212463,-0.0245918367207916,0.128571447790886,-0.121428556466589,0.0911798307180405,171.811129622736,313.203329692045,0.248335528278351,15.93795,0.455370007754905,0.338880005771092,0.119999885559082,544.533757533575,0.107999801635742,-40.4999994039536,-54.4999994039536,-0.776938810244247,786.261565892674,2237.11906926995,49.0000005960464,25.0000005960464,0.413061260454163,1.15979583083809,0.0706906778419798,0.339103336760434,6.83708281161342,-1.29109925663943,-0.100498284942424,-0.418031439002637,-0.44544352586068,-0.374596866643111,0.541667257747116,0.0115019384108193,18.1318726912892,44.4921913902182,1.87853572473145,33,16,32,31,35,36,"old","M","RIGHT","1"
"49",15,122.355000019073,0.506722242575582,0.0326917575855214,1,1.28787878787879,1.18181818181818,8.23831818681775,1.07575817180402,-3.11632045163958,0.0175324848609425,185.423450568163,363.882710548384,955.522641690728,0.702499985694885,-0.0248979578421342,0.28571430760987,-0.21428570090508,0.147518612337112,223.772143919782,309.437545554918,0.375097831106186,13.71405,0.391830006672825,0.434190007394212,0.0309998989105225,0,0.25600004196167,-462.499999403954,-46.4999994039536,-202.744904828385,711.408813552377,1945.50359394142,47.0000005960464,537.000000596046,1.02693877594116,0.00437814058983115,-0.0747025951940278,-0.199609737362166,7.7413212608405,-7.7572311856918,-7.06123012138233,7.25807538658065,-0.963555662371494,0.8853718785899,51.9456718429756,0.0184520588371246,22.8240489929677,45.756204494816,7.34643718617172,33,29,31,44,22,23,"old","M","RIGHT","1"
"51",15,128.43799996376,0.537224186140153,0.0467151466208829,1,1.28,1.10666666666667,2.07887837371311,0.966667262713114,2.57551574038653,0.348571451537463,159.971626689714,418.277216346424,1169.9902565534,0.66949999332428,0.00489796202662426,0.171428591377881,0.142857162319884,0.0911800074577332,139.065176483641,269.919522272958,0.25352460565567,12.6021,0.360060006131785,0.296520005049706,0.0130000114440918,0,0.303999900817871,-434.999999403954,-231.999999403954,-0.7322449151142,760.799086487359,2111.45927951791,851.000000596046,158.500000596046,110.108983833317,-0.327915880190096,-0.0708530221658182,-0.155197835956258,7.1163905630567,5.94565084754495,4.8382962758656,-2.73934734840598,-0.0508680729239019,1.32231763815261,43.4536257003282,0.0129692942607818,18.596323868687,38.6339689247933,12.854185703112,33,29,31,44,22,23,"old","M","RIGHT","1"
"53",16,124.035000085831,0.725601644194952,0.0403112024552751,1,1.14736842105263,1,29.8287263142435,-3.51578887763776,0.399553186984778,0.378797015961976,164.931825358722,431.153105056661,1532.89925782517,0.503999948501587,-0.00367347024272525,0.214285734964877,-0.142857128260087,0.0726470832824707,165.164889361532,401.168201799525,0.171981860160828,13.3434,0.381240006492479,0.254160004328319,0.0659999847412109,0,0.166000127792358,-40.4999994039536,-51.9999994039536,-8.38367368413826,790.708068758629,2451.71338196212,300.500000596046,100.000000596046,24.5306132752764,1.82811303333878,0.0474809283719079,-0.532192566002299,9.4408577929903,5.83115774650081,4.84698199197561,2.85975345721919,-0.314654653192074,0.861311499558434,24.7787757512622,0.0111128465776357,16.9216482387938,47.3688797681981,4.98002090753882,28,8,29,21,32,31,"old","F","RIGHT","1"
"55",16,118.274999856949,0.676389770422813,0.0676389770422813,1,1.02272727272727,1,1.38244317607446,-1.62499940395355,1.68568884023677,0.475811713444612,171.447055660155,413.098842929092,1200.31937343301,0.527000069618225,-0.00448979534143578,0.207142877700378,-0.0999999846730911,0.0956276618242264,162.239896160678,390.385773359571,0.181618768644333,11.49015,0.328290005590746,0.307110005230052,0.0310001373291016,434.126174208166,0.16100001335144,-18.9999994039536,-46.4999994039536,-0.741632670292701,774.346498668393,4211.11074472525,663.500000596046,281.000000596046,152.198781153628,1.03770137486233,0.106537371531563,2.60857464552396,7.82749604747601,9.06193531060333,8.56176464263304,7.42084370308077,-0.690221114393418,14.4074562051819,75.0166916212086,0.0137031045939945,18.2763175419027,51.4563552157174,7.57529410971291,28,8,29,21,32,31,"old","F","RIGHT","1"
"58",17,121.051999807358,0.627829363587106,0.0247827380363331,1,1.10126582278481,1.0253164556962,1.87632911114753,-3.12658168243456,2.01625169448951,0.749728782058101,156.94740328488,369.881399910836,881.53225231068,0.61899995803833,-0.00571427934023748,0.157142876848883,-0.21428570090508,0.117125040864944,161.114554758533,284.400236407564,0.284659069919586,11.1195,0.317700005410399,0.254160004328319,0.0360000133514404,0,0.233000040054321,-10.9999994039536,-29.9999994039536,-0.402244900468487,740.396684217319,1396.97495129263,864.000000596046,135.000000596046,95.2163302597431,6.58359979262741,-0.0523297174559378,-0.65393900351448,8.21693914584497,6.24003813653074,5.92812933813422,4.35938193763747,-0.548455347055743,0.301246658943732,34.0607493695716,0.0380099999367622,17.6579624517576,31.8795787178923,14.2335530646143,29,19,24,37,39,33,"old","F","RIGHT","1"
"60",17,124.832000017166,0.736990515151154,0.00801076646903428,1,1.06451612903226,1.03225806451613,1.57612903912862,4.02688231647656,0.56918808810154,0.260368685058421,175.238006548342,414.008755946055,1217.41991597665,0.547999858856201,-0.00530611654759794,0.18571430590688,-0.0142856974990998,0.097851223897934,164.267922997215,299.91035276612,0.19273781619072,10.3782,0.296520005049706,0.381240006492479,0.0980000495910645,392.521212294627,0.239000082015991,-26.4999994039536,-23.9999994039536,-0.488571439129966,862.004205326169,1902.87875202175,193.000000596046,338.000000596046,53.2522469700878,-0.022920383345173,0.20567788079363,-0.368320917749484,8.69902209004142,9.32842488350574,6.02493878405063,7.80642997553302,-0.385112997189975,-0.0437927884257756,47.8756774633851,0.00962478233220163,18.1713347871485,31.81304328545,2.30176072705556,29,19,24,37,39,33,"old","F","RIGHT","1"
"62",18,121.297999858856,0.75846263010975,0.19785981655037,0.887931034482759,0.931034482758621,0.887931034482759,1.00614780965059,10.0086212857016,2.93390229783658,0.673891654121968,207.608660056467,407.420237592587,1153.02200831608,0.428999900817871,-0.011734687100346,0.107142875997388,-0.0642856983505947,0.128986041641235,199.248000432445,317.120091469028,0.229802957582474,14.826,0.423600007213865,0.529500009017331,0.0230000019073486,0,0.195000171661377,-182.499999403954,-120.999999403954,-24.4469395466171,832.430777902884,1702.31214373429,618.500000596046,307.500000596046,83.1600031644958,-0.269659685369322,-0.283276184661043,-1.07508505868623,9.94007691328275,4.07272337477435,3.56000096756979,2.73043033353559,-0.587828751758591,0.422793423810937,14.5552385567605,0.0136105664975104,19.3596073734984,42.5549667959771,9.55470573298862,24,19,24,27,29,35,"old","F","RIGHT","1"
"64",18,122.331000089645,0.752057940608527,0.212538113650236,0.838983050847458,0.906779661016949,0.838983050847458,1.02296610201819,-0.627118048021349,-1.90820481911563,1.15193708265211,219.572614750247,357.174544982513,1068.67249722088,0.456499934196472,-0.0129591783976759,0.207142877700378,-0.0928571274085918,0.156413921070099,231.038376497873,347.870804484575,0.292072062849998,19.2738,0.550680009378025,0.518910008836985,0.00600004196166992,0,0.113999843597412,-181.499999403954,-238.999999403954,-100.523472604286,872.401856944379,1875.75386639643,623.500000596046,284.000000596046,71.3791864206562,-0.148859849187361,-0.0220822187028261,-0.733741496928375,10.1041556040106,-2.09786044617618,2.69585123998637,0.805005276858198,-0.803876268489424,-0.431336132577805,7.6585067781421,0.0141086382009454,20.2132975924645,46.5293354398446,11.6983345353761,24,19,24,27,29,35,"old","F","RIGHT","1"
"65",19,125.039999961853,0.463851567639912,0.0399872041068889,1,1,1,7.21415873557802,-0.650793054747203,0.142429546031006,-0.102721073154805,161.627768007833,435.372254513307,1022.28915018694,0.516999959945679,7.05524419760876e-09,-0.0857142701440925,-0.071428555615094,0.0904384077072144,149.877421507353,214.865618931841,0.252041759634018,13.3434,0.381240006492479,0.338880005771092,0.151000022888184,127.881727965114,0.174000024795532,-47.9999994039536,-59.9999994039536,-0.236530630519022,754.908769322492,1598.74666402022,44.0000005960464,71.0000005960464,2.26040829377689,0.547025999754444,-0.0620726113653187,-0.435498816959005,7.53441138668911,3.25800232865114,0.0608365329994537,0.750076124381318,-0.62289405649571,1.50231211646847,0.0248059189270347,0.0160291186104264,20.3631847195794,31.7619374610255,2.37500794034453,34,12,23,25,32,32,"old","M","RIGHT","1"
"67",19,117.165999889374,0.435279859755844,0.0512093952653935,1,1.26315789473684,1.08771929824561,2.25477193112959,-2.89473624605882,-0.213551741960707,0.188220571613722,185.620780631554,387.64223196138,906.566263237497,0.835999965667725,-0.0257142960781954,0.128571447790886,-0.199999986376081,0.127503549098968,155.805158378774,258.484977110907,0.566352801275253,17.7912,0.508320008656638,0.296520005049706,0.0299999713897705,0,0.188999891281128,-68.4999994039536,-37.9999994039536,-11.5751023676722,785.232608849123,1499.46605695015,133.000000596046,207.000000596046,2.76857159998953,0.612361186138701,-0.149099706052059,-0.69889767113441,5.63158470545235,-6.01424804616753,1.5774817549731,4.83996192174998,-0.346927926622426,0.596390880140176,8.13206923969169,0.0242673646907483,24.5860730090165,41.5999226086189,3.49603971270042,34,12,23,25,32,32,"old","M","RIGHT","1"
"69",20,119.013000011444,0.403317284627599,0.142841538305608,1,2.6,1.70769230769231,79.7351999796354,-36.7384609424151,-11.2877963001251,1.20835168595965,220.527874521508,364.078631616853,914.704364272536,0.592999935150146,-0.0359183719762906,0.128571447790886,-0.314285702608069,0.185325,236.447326526675,619.113619779687,0.339515535736084,15.5673,0.444780007574558,0.677760011542184,0.0590000152587891,0,0.250999927520752,-372.499999403954,-227.999999403954,-92.5928603296378,792.65282438152,3308.88439938945,314.000000596046,311.500000596046,9.14285734235024,1.40823347547098,-0.036768975651254,0.731861061975043,7.69385345965059,-1.79956857842576,0.31547796119735,0.429770225984634,-0.938982241543148,1.75638209478159,1.70779466422895,0.0291863835835089,27.3531163857975,75.5300560421167,16.6246092070455,36,13,29,33,31,33,"old","F","LEFT","7"
"71",20,120.831000089645,0.670357771928609,0.0993122625079421,0.978494623655914,1.10752688172043,1.04301075268817,1.39780645985757,-9.95161230717936,-3.83009449391617,0.100000018732889,172.914937591842,432.926090689854,1026.14278210983,0.460000038146973,-2.9194109820893e-09,-0.0571428410860954,-0.071428555615094,0.120090379428864,159.256827073154,268.558051773713,0.256489944219589,22.239,0.635400010820798,0.423600007213865,0.0529999732971191,0,0.0319998264312744,-777.499999403954,-452.999999403954,-174.543679405065,833.935549068392,2435.87623920463,472.000000596046,79.0000005960464,8.93183714473909,1.06974517937333,-0.154743077150816,0.331109830021256,8.48712205118074,-6.34132277837547,-2.35612666204575,-5.81417401408324,-0.246688024879025,1.34929789185441,32.3210773287936,0.0151915135929461,17.9304437580066,39.7418600294809,11.2824333787221,36,13,29,33,31,33,"old","F","LEFT","7"
"74",21,122.394999980927,0.506556640464574,0.00817026839458991,1,1.03174603174603,1.03174603174603,2.14103175344921,3.36507996112581,0.00175899277590065,0.103854894081984,158.391848448604,437.004576635074,930.960190265318,0.636999845504761,0.00285714514401531,0.0714285896748916,0.114285733261887,0.127503549098968,155.293084554722,205.926100024012,0.228320111560822,8.8956,0.254160004328319,0.423600007213865,0.103999853134155,567.697778934864,0.296000003814697,-22.4999994039536,-30.9999994039536,-0.442857164509443,843.481623984779,1582.85404980924,33.5000005960464,38.5000005960464,0.392857181052774,0.51559920652757,0.0327944596036633,0.535521818679544,6.12483827998246,-0.36524036007327,0.188758347573628,-0.113059472613123,-0.305475644618334,0.214676511312142,0.481457528512088,0.0188487384988805,19.9554971759447,25.7987538330701,1.25418941317801,25,36,26,34,24,33,"old","F","RIGHT","1"
"75",21,117.365999937057,0.485660242579358,0.0170407102659424,1,1.22033898305085,1.11864406779661,2.17457626229626,1.62711924011424,-0.0183915557044643,0.243341425532332,207.755224218293,382.545422139646,966.214331895235,0.724999904632568,-0.00612244894483665,0.228571449493876,0.0428571606168945,0.133433872747421,205.258884314447,309.722790346549,0.447744914388657,13.3434,0.381240006492479,0.360060006131785,0.0230000019073486,0,0.119999885559082,-13.9999994039536,-21.9999994039536,-0.658163279937933,955.934098146938,1495.98464703379,37.5000005960464,36.5000005960464,0.326530643315775,0.00611100206036296,0.221782578545454,-0.925239402303233,5.84916216880216,-1.25939858858202,0.214245358973255,0.281643913821643,-0.191981962126829,0.603811678680431,-0.490911451446784,0.0202193134532919,27.0474263915564,41.9423403297218,1.44269892974387,25,36,26,34,24,33,"old","F","RIGHT","1"
"77",22,129.594000101089,0.540148463242102,0.0231492198532329,1,1.06849315068493,1,39.6328630284087,-1.70547885600835,1.48497628946446,0.155381624372705,192.555335818223,417.420651142226,961.009943705138,0.697000026702881,-0.00428571345854747,1.70298987972719e-08,-0.128571413731088,0.160120505905151,241.933392510453,289.407859780818,0.256489944219589,11.1195,0.317700005410399,0.275340004689012,0.0400002002716064,0,0.361999988555908,-48.4999994039536,-39.4999994039536,-0.53000001902483,783.078859374967,1695.81292793804,459.500000596046,290.500000596046,108.967146933468,0.333573684934014,0.00326566514874375,-0.176891294600427,8.19569307388663,8.19209306202543,7.56423590165861,7.19562078565604,-1.0889996977386,0.679049557141419,59.3396528064517,0.016791911038814,22.536897402901,35.9046438719297,6.47091273951431,31,12,25,45,33,37,"old","F","RIGHT","1"
